ARTEMIS_icme_start,ARTEMIS_icme_stop
2012-01-22 00:00:00,2012-01-22 08:00:00
2012-01-22 23:00:00,2012-01-23 07:00:00
2012-11-13 08:00:00,2012-11-14 03:00:00
2013-06-07 00:00:00,2013-06-08 00:00:00
2013-06-08 10:00:00,2013-06-08 20:00:00
2013-07-07 00:00:00,2013-07-07 16:00:00
2013-12-02 00:00:00,2013-12-02 23:00:00
2014-04-29 20:00:00,2014-04-29 23:59:00
2014-12-22 04:00:00,2014-12-22 17:00:00
2015-05-18 20:00:00,2015-05-18 23:59:00
2015-08-15 21:00:00,2015-08-15 23:59:00
2015-09-13 07:00:00,2015-09-13 18:00:00
2016-08-02 14:00:00,2016-08-03 03:00:00
2017-08-22 04:00:00,2017-08-22 23:59:00
2021-05-12 15:00:00,2021-05-12 23:59:00
2021-11-04 07:00:00,2021-11-05 05:00:00
2022-03-31 12:00:00,2022-04-01 12:00:00
2023-04-19 08:00:00,2023-04-20 23:59:00
2023-05-20 10:00:00,2023-05-20 23:59:00
2023-11-12 12:00:00,2023-11-13 17:00:00
