,Start,Stop,Pearson,expected-arrival
0,2015-07-15 12:30:00,2015-07-15 13:30:00,24,9
1,2015-07-15 12:31:00,2015-07-15 13:31:00,24,9
2,2015-07-15 12:32:00,2015-07-15 13:32:00,24,9
3,2015-07-15 12:33:00,2015-07-15 13:33:00,23,9
4,2015-07-15 12:34:00,2015-07-15 13:34:00,23,9
5,2015-07-15 12:35:00,2015-07-15 13:35:00,23,9
6,2015-07-15 12:36:00,2015-07-15 13:36:00,23,9
7,2015-07-15 12:37:00,2015-07-15 13:37:00,23,9
8,2015-07-15 12:38:00,2015-07-15 13:38:00,23,9
9,2015-07-15 12:39:00,2015-07-15 13:39:00,23,9
10,2015-07-15 12:40:00,2015-07-15 13:40:00,23,9
11,2015-07-15 12:41:00,2015-07-15 13:41:00,23,9
12,2015-07-15 12:42:00,2015-07-15 13:42:00,23,9
13,2015-07-15 12:43:00,2015-07-15 13:43:00,23,9
14,2015-07-15 12:44:00,2015-07-15 13:44:00,23,9
15,2015-07-15 12:45:00,2015-07-15 13:45:00,23,9
16,2015-07-15 12:46:00,2015-07-15 13:46:00,23,9
17,2015-07-15 12:47:00,2015-07-15 13:47:00,23,9
18,2015-07-15 12:48:00,2015-07-15 13:48:00,23,9
19,2015-07-15 12:49:00,2015-07-15 13:49:00,23,9
20,2015-07-15 12:50:00,2015-07-15 13:50:00,23,9
21,2015-07-15 12:51:00,2015-07-15 13:51:00,23,9
22,2015-07-15 12:52:00,2015-07-15 13:52:00,23,9
23,2015-07-15 12:53:00,2015-07-15 13:53:00,24,9
24,2015-07-15 12:54:00,2015-07-15 13:54:00,23,9
25,2015-07-15 12:55:00,2015-07-15 13:55:00,23,9
26,2015-07-15 12:56:00,2015-07-15 13:56:00,23,9
27,2015-07-15 12:57:00,2015-07-15 13:57:00,23,9
28,2015-07-15 12:58:00,2015-07-15 13:58:00,23,9
29,2015-07-15 12:59:00,2015-07-15 13:59:00,23,9
30,2015-07-15 13:00:00,2015-07-15 14:00:00,23,9
31,2015-07-15 13:01:00,2015-07-15 14:01:00,24,9
32,2015-07-15 13:02:00,2015-07-15 14:02:00,24,9
33,2015-07-15 13:03:00,2015-07-15 14:03:00,1,9
34,2015-07-15 13:04:00,2015-07-15 14:04:00,1,9
35,2015-07-15 13:05:00,2015-07-15 14:05:00,1,9
36,2015-07-15 13:06:00,2015-07-15 14:06:00,1,9
37,2015-07-15 13:07:00,2015-07-15 14:07:00,1,9
38,2015-07-15 13:08:00,2015-07-15 14:08:00,1,9
39,2015-07-15 13:09:00,2015-07-15 14:09:00,1,9
40,2015-07-15 13:10:00,2015-07-15 14:10:00,1,9
41,2015-07-15 13:11:00,2015-07-15 14:11:00,1,9
42,2015-07-15 13:12:00,2015-07-15 14:12:00,1,9
43,2015-07-15 13:13:00,2015-07-15 14:13:00,1,9
44,2015-07-15 13:14:00,2015-07-15 14:14:00,1,9
45,2015-07-15 13:15:00,2015-07-15 14:15:00,1,9
46,2015-07-15 13:16:00,2015-07-15 14:16:00,1,9
47,2015-07-15 13:17:00,2015-07-15 14:17:00,1,9
48,2015-07-15 13:18:00,2015-07-15 14:18:00,1,9
49,2015-07-15 13:19:00,2015-07-15 14:19:00,1,9
50,2015-07-15 13:20:00,2015-07-15 14:20:00,1,9
51,2015-07-15 13:21:00,2015-07-15 14:21:00,0,9
52,2015-07-15 13:22:00,2015-07-15 14:22:00,0,9
53,2015-07-15 13:23:00,2015-07-15 14:23:00,0,9
54,2015-07-15 13:24:00,2015-07-15 14:24:00,1,9
55,2015-07-15 13:25:00,2015-07-15 14:25:00,1,9
56,2015-07-15 13:26:00,2015-07-15 14:26:00,1,9
57,2015-07-15 13:27:00,2015-07-15 14:27:00,1,9
58,2015-07-15 13:28:00,2015-07-15 14:28:00,1,10
59,2015-07-15 13:29:00,2015-07-15 14:29:00,1,10
60,2015-07-15 13:30:00,2015-07-15 14:30:00,1,10
61,2015-07-15 13:31:00,2015-07-15 14:31:00,1,10
62,2015-07-15 13:32:00,2015-07-15 14:32:00,29,10
63,2015-07-15 13:33:00,2015-07-15 14:33:00,29,10
64,2015-07-15 13:34:00,2015-07-15 14:34:00,29,10
65,2015-07-15 13:35:00,2015-07-15 14:35:00,29,10
66,2015-07-15 13:36:00,2015-07-15 14:36:00,29,10
67,2015-07-15 13:37:00,2015-07-15 14:37:00,29,10
68,2015-07-15 13:38:00,2015-07-15 14:38:00,30,10
69,2015-07-15 13:39:00,2015-07-15 14:39:00,30,10
70,2015-07-15 13:40:00,2015-07-15 14:40:00,30,10
71,2015-07-15 13:41:00,2015-07-15 14:41:00,30,10
72,2015-07-15 13:42:00,2015-07-15 14:42:00,30,10
73,2015-07-15 13:43:00,2015-07-15 14:43:00,30,10
74,2015-07-15 13:44:00,2015-07-15 14:44:00,30,10
75,2015-07-15 13:45:00,2015-07-15 14:45:00,30,10
76,2015-07-15 13:46:00,2015-07-15 14:46:00,30,10
77,2015-07-15 13:47:00,2015-07-15 14:47:00,30,10
78,2015-07-15 13:48:00,2015-07-15 14:48:00,30,10
79,2015-07-15 13:49:00,2015-07-15 14:49:00,30,10
80,2015-07-15 13:50:00,2015-07-15 14:50:00,30,10
81,2015-07-15 13:51:00,2015-07-15 14:51:00,1,10
82,2015-07-15 13:52:00,2015-07-15 14:52:00,1,10
83,2015-07-15 13:53:00,2015-07-15 14:53:00,7,10
