,Start,Stop,Pearson,expected-arrival
0,2017-02-24 23:31:00,2017-02-25 00:31:00,9,8
1,2017-02-24 23:32:00,2017-02-25 00:32:00,7,8
2,2017-02-24 23:33:00,2017-02-25 00:33:00,7,8
3,2017-02-24 23:34:00,2017-02-25 00:34:00,7,8
4,2017-02-24 23:35:00,2017-02-25 00:35:00,9,8
5,2017-02-24 23:36:00,2017-02-25 00:36:00,10,8
6,2017-02-24 23:37:00,2017-02-25 00:37:00,12,8
7,2017-02-24 23:38:00,2017-02-25 00:38:00,12,8
8,2017-02-24 23:39:00,2017-02-25 00:39:00,12,8
9,2017-02-24 23:40:00,2017-02-25 00:40:00,12,8
10,2017-02-24 23:41:00,2017-02-25 00:41:00,12,8
11,2017-02-24 23:42:00,2017-02-25 00:42:00,12,8
12,2017-02-24 23:43:00,2017-02-25 00:43:00,12,8
13,2017-02-24 23:44:00,2017-02-25 00:44:00,12,8
14,2017-02-24 23:45:00,2017-02-25 00:45:00,12,8
15,2017-02-24 23:46:00,2017-02-25 00:46:00,12,8
16,2017-02-24 23:47:00,2017-02-25 00:47:00,12,8
17,2017-02-24 23:48:00,2017-02-25 00:48:00,12,8
18,2017-02-24 23:49:00,2017-02-25 00:49:00,13,8
19,2017-02-24 23:50:00,2017-02-25 00:50:00,13,8
20,2017-02-24 23:51:00,2017-02-25 00:51:00,13,8
21,2017-02-24 23:52:00,2017-02-25 00:52:00,13,8
22,2017-02-24 23:53:00,2017-02-25 00:53:00,12,8
23,2017-02-24 23:54:00,2017-02-25 00:54:00,13,8
24,2017-02-24 23:55:00,2017-02-25 00:55:00,13,8
25,2017-02-24 23:56:00,2017-02-25 00:56:00,12,8
26,2017-02-24 23:57:00,2017-02-25 00:57:00,12,8
27,2017-02-24 23:58:00,2017-02-25 00:58:00,12,8
28,2017-02-24 23:59:00,2017-02-25 00:59:00,12,8
29,2017-02-25 00:00:00,2017-02-25 01:00:00,12,8
30,2017-02-25 00:01:00,2017-02-25 01:01:00,12,8
31,2017-02-25 00:02:00,2017-02-25 01:02:00,12,8
32,2017-02-25 00:03:00,2017-02-25 01:03:00,12,8
33,2017-02-25 00:04:00,2017-02-25 01:04:00,12,8
34,2017-02-25 00:05:00,2017-02-25 01:05:00,12,8
35,2017-02-25 00:06:00,2017-02-25 01:06:00,6,8
36,2017-02-25 00:07:00,2017-02-25 01:07:00,6,8
37,2017-02-25 00:08:00,2017-02-25 01:08:00,6,8
38,2017-02-25 00:09:00,2017-02-25 01:09:00,6,8
39,2017-02-25 00:10:00,2017-02-25 01:10:00,7,8
40,2017-02-25 00:11:00,2017-02-25 01:11:00,6,8
41,2017-02-25 00:12:00,2017-02-25 01:12:00,6,8
42,2017-02-25 00:13:00,2017-02-25 01:13:00,7,8
43,2017-02-25 00:14:00,2017-02-25 01:14:00,7,8
44,2017-02-25 00:15:00,2017-02-25 01:15:00,7,8
45,2017-02-25 00:16:00,2017-02-25 01:16:00,7,8
46,2017-02-25 00:17:00,2017-02-25 01:17:00,7,8
47,2017-02-25 00:18:00,2017-02-25 01:18:00,7,8
48,2017-02-25 00:19:00,2017-02-25 01:19:00,7,8
49,2017-02-25 00:20:00,2017-02-25 01:20:00,7,8
50,2017-02-25 00:21:00,2017-02-25 01:21:00,7,8
51,2017-02-25 00:22:00,2017-02-25 01:22:00,7,8
52,2017-02-25 00:23:00,2017-02-25 01:23:00,0,8
53,2017-02-25 00:24:00,2017-02-25 01:24:00,0,8
54,2017-02-25 00:25:00,2017-02-25 01:25:00,0,8
55,2017-02-25 00:26:00,2017-02-25 01:26:00,0,8
56,2017-02-25 00:27:00,2017-02-25 01:27:00,0,8
57,2017-02-25 00:28:00,2017-02-25 01:28:00,0,8
58,2017-02-25 00:29:00,2017-02-25 01:29:00,0,8
59,2017-02-25 00:30:00,2017-02-25 01:30:00,0,8
60,2017-02-25 00:31:00,2017-02-25 01:31:00,0,8
61,2017-02-25 00:32:00,2017-02-25 01:32:00,0,8
62,2017-02-25 00:33:00,2017-02-25 01:33:00,0,8
63,2017-02-25 00:34:00,2017-02-25 01:34:00,0,8
64,2017-02-25 00:35:00,2017-02-25 01:35:00,1,8
65,2017-02-25 00:36:00,2017-02-25 01:36:00,2,8
66,2017-02-25 00:37:00,2017-02-25 01:37:00,1,8
67,2017-02-25 00:38:00,2017-02-25 01:38:00,0,8
68,2017-02-25 00:39:00,2017-02-25 01:39:00,0,8
69,2017-02-25 00:40:00,2017-02-25 01:40:00,1,8
70,2017-02-25 00:41:00,2017-02-25 01:41:00,2,8
71,2017-02-25 00:42:00,2017-02-25 01:42:00,1,8
72,2017-02-25 00:43:00,2017-02-25 01:43:00,1,8
73,2017-02-25 00:44:00,2017-02-25 01:44:00,2,8
74,2017-02-25 00:45:00,2017-02-25 01:45:00,3,8
75,2017-02-25 00:46:00,2017-02-25 01:46:00,3,8
76,2017-02-25 00:47:00,2017-02-25 01:47:00,4,8
77,2017-02-25 00:48:00,2017-02-25 01:48:00,4,8
78,2017-02-25 00:49:00,2017-02-25 01:49:00,4,8
79,2017-02-25 00:50:00,2017-02-25 01:50:00,4,8
80,2017-02-25 00:51:00,2017-02-25 01:51:00,4,8
81,2017-02-25 00:52:00,2017-02-25 01:52:00,4,8
82,2017-02-25 00:53:00,2017-02-25 01:53:00,4,8
83,2017-02-25 00:54:00,2017-02-25 01:54:00,4,8
84,2017-02-25 00:55:00,2017-02-25 01:55:00,4,8
85,2017-02-25 00:56:00,2017-02-25 01:56:00,4,8
86,2017-02-25 00:57:00,2017-02-25 01:57:00,4,8
87,2017-02-25 00:58:00,2017-02-25 01:58:00,4,8
88,2017-02-25 00:59:00,2017-02-25 01:59:00,4,8
89,2017-02-25 01:00:00,2017-02-25 02:00:00,4,8
90,2017-02-25 01:01:00,2017-02-25 02:01:00,4,8
91,2017-02-25 01:02:00,2017-02-25 02:02:00,4,8
92,2017-02-25 01:03:00,2017-02-25 02:03:00,4,8
93,2017-02-25 01:04:00,2017-02-25 02:04:00,4,8
94,2017-02-25 01:05:00,2017-02-25 02:05:00,4,8
95,2017-02-25 01:06:00,2017-02-25 02:06:00,4,8
96,2017-02-25 01:07:00,2017-02-25 02:07:00,4,8
97,2017-02-25 01:08:00,2017-02-25 02:08:00,4,8
98,2017-02-25 01:09:00,2017-02-25 02:09:00,4,8
99,2017-02-25 01:10:00,2017-02-25 02:10:00,4,8
100,2017-02-25 01:11:00,2017-02-25 02:11:00,4,8
101,2017-02-25 01:12:00,2017-02-25 02:12:00,4,8
102,2017-02-25 01:13:00,2017-02-25 02:13:00,4,8
103,2017-02-25 01:14:00,2017-02-25 02:14:00,4,8
104,2017-02-25 01:15:00,2017-02-25 02:15:00,4,8
105,2017-02-25 01:16:00,2017-02-25 02:16:00,4,8
106,2017-02-25 01:17:00,2017-02-25 02:17:00,5,8
107,2017-02-25 01:18:00,2017-02-25 02:18:00,5,8
108,2017-02-25 01:19:00,2017-02-25 02:19:00,5,8
109,2017-02-25 01:20:00,2017-02-25 02:20:00,4,8
110,2017-02-25 01:21:00,2017-02-25 02:21:00,5,8
111,2017-02-25 01:22:00,2017-02-25 02:22:00,4,8
112,2017-02-25 01:23:00,2017-02-25 02:23:00,5,8
113,2017-02-25 01:24:00,2017-02-25 02:24:00,5,8
114,2017-02-25 01:25:00,2017-02-25 02:25:00,5,8
115,2017-02-25 01:26:00,2017-02-25 02:26:00,5,8
116,2017-02-25 01:27:00,2017-02-25 02:27:00,5,8
117,2017-02-25 01:28:00,2017-02-25 02:28:00,6,8
118,2017-02-25 01:29:00,2017-02-25 02:29:00,5,8
119,2017-02-25 01:30:00,2017-02-25 02:30:00,5,8
120,2017-02-25 01:31:00,2017-02-25 02:31:00,6,8
121,2017-02-25 01:32:00,2017-02-25 02:32:00,6,8
122,2017-02-25 01:33:00,2017-02-25 02:33:00,10,8
123,2017-02-25 01:34:00,2017-02-25 02:34:00,15,8
124,2017-02-25 01:35:00,2017-02-25 02:35:00,15,8
125,2017-02-25 01:36:00,2017-02-25 02:36:00,6,8
126,2017-02-25 01:37:00,2017-02-25 02:37:00,5,8
127,2017-02-25 01:38:00,2017-02-25 02:38:00,5,8
128,2017-02-25 01:39:00,2017-02-25 02:39:00,6,8
129,2017-02-25 01:40:00,2017-02-25 02:40:00,6,8
130,2017-02-25 01:41:00,2017-02-25 02:41:00,6,8
131,2017-02-25 01:42:00,2017-02-25 02:42:00,6,8
132,2017-02-25 01:43:00,2017-02-25 02:43:00,6,8
133,2017-02-25 01:44:00,2017-02-25 02:44:00,11,8
134,2017-02-25 01:45:00,2017-02-25 02:45:00,11,8
135,2017-02-25 01:46:00,2017-02-25 02:46:00,11,8
136,2017-02-25 01:47:00,2017-02-25 02:47:00,11,8
137,2017-02-25 01:48:00,2017-02-25 02:48:00,15,8
138,2017-02-25 01:49:00,2017-02-25 02:49:00,11,8
139,2017-02-25 01:50:00,2017-02-25 02:50:00,11,8
140,2017-02-25 01:51:00,2017-02-25 02:51:00,11,8
141,2017-02-25 01:52:00,2017-02-25 02:52:00,11,8
142,2017-02-25 01:53:00,2017-02-25 02:53:00,7,8
143,2017-02-25 01:54:00,2017-02-25 02:54:00,7,8
144,2017-02-25 01:55:00,2017-02-25 02:55:00,8,8
145,2017-02-25 01:56:00,2017-02-25 02:56:00,8,8
146,2017-02-25 01:57:00,2017-02-25 02:57:00,8,8
147,2017-02-25 01:58:00,2017-02-25 02:58:00,11,8
148,2017-02-25 01:59:00,2017-02-25 02:59:00,12,8
149,2017-02-25 02:00:00,2017-02-25 03:00:00,12,8
150,2017-02-25 02:01:00,2017-02-25 03:01:00,12,8
151,2017-02-25 02:02:00,2017-02-25 03:02:00,7,8
152,2017-02-25 02:03:00,2017-02-25 03:03:00,7,8
153,2017-02-25 02:04:00,2017-02-25 03:04:00,7,8
154,2017-02-25 02:05:00,2017-02-25 03:05:00,7,8
155,2017-02-25 02:06:00,2017-02-25 03:06:00,7,8
156,2017-02-25 02:07:00,2017-02-25 03:07:00,7,8
157,2017-02-25 02:08:00,2017-02-25 03:08:00,7,8
158,2017-02-25 02:09:00,2017-02-25 03:09:00,7,8
159,2017-02-25 02:10:00,2017-02-25 03:10:00,7,8
160,2017-02-25 02:11:00,2017-02-25 03:11:00,7,8
161,2017-02-25 02:12:00,2017-02-25 03:12:00,7,8
162,2017-02-25 02:13:00,2017-02-25 03:13:00,7,8
163,2017-02-25 02:14:00,2017-02-25 03:14:00,10,8
164,2017-02-25 02:15:00,2017-02-25 03:15:00,11,8
165,2017-02-25 02:16:00,2017-02-25 03:16:00,11,8
166,2017-02-25 02:17:00,2017-02-25 03:17:00,12,8
167,2017-02-25 02:18:00,2017-02-25 03:18:00,12,8
168,2017-02-25 02:19:00,2017-02-25 03:19:00,11,8
169,2017-02-25 02:20:00,2017-02-25 03:20:00,12,8
170,2017-02-25 02:21:00,2017-02-25 03:21:00,11,8
171,2017-02-25 02:22:00,2017-02-25 03:22:00,11,8
172,2017-02-25 02:23:00,2017-02-25 03:23:00,11,8
173,2017-02-25 02:24:00,2017-02-25 03:24:00,12,8
174,2017-02-25 02:25:00,2017-02-25 03:25:00,12,8
175,2017-02-25 02:26:00,2017-02-25 03:26:00,12,8
176,2017-02-25 02:27:00,2017-02-25 03:27:00,12,8
177,2017-02-25 02:28:00,2017-02-25 03:28:00,12,8
178,2017-02-25 02:29:00,2017-02-25 03:29:00,12,8
179,2017-02-25 02:30:00,2017-02-25 03:30:00,11,8
180,2017-02-25 02:31:00,2017-02-25 03:31:00,30,8
181,2017-02-25 02:32:00,2017-02-25 03:32:00,30,8
182,2017-02-25 02:33:00,2017-02-25 03:33:00,30,8
183,2017-02-25 02:34:00,2017-02-25 03:34:00,30,8
184,2017-02-25 02:35:00,2017-02-25 03:35:00,30,8
185,2017-02-25 02:36:00,2017-02-25 03:36:00,30,8
186,2017-02-25 02:37:00,2017-02-25 03:37:00,30,8
187,2017-02-25 02:38:00,2017-02-25 03:38:00,30,8
188,2017-02-25 02:39:00,2017-02-25 03:39:00,10,8
189,2017-02-25 02:40:00,2017-02-25 03:40:00,10,8
190,2017-02-25 02:41:00,2017-02-25 03:41:00,10,8
191,2017-02-25 02:42:00,2017-02-25 03:42:00,10,8
192,2017-02-25 02:43:00,2017-02-25 03:43:00,10,8
193,2017-02-25 02:44:00,2017-02-25 03:44:00,24,8
194,2017-02-25 02:45:00,2017-02-25 03:45:00,24,8
195,2017-02-25 02:46:00,2017-02-25 03:46:00,24,8
196,2017-02-25 02:47:00,2017-02-25 03:47:00,24,8
197,2017-02-25 02:48:00,2017-02-25 03:48:00,19,8
198,2017-02-25 02:49:00,2017-02-25 03:49:00,19,8
199,2017-02-25 02:50:00,2017-02-25 03:50:00,19,8
200,2017-02-25 02:51:00,2017-02-25 03:51:00,19,8
201,2017-02-25 02:52:00,2017-02-25 03:52:00,19,8
202,2017-02-25 02:53:00,2017-02-25 03:53:00,19,8
203,2017-02-25 02:54:00,2017-02-25 03:54:00,19,8
204,2017-02-25 02:55:00,2017-02-25 03:55:00,19,8
205,2017-02-25 02:56:00,2017-02-25 03:56:00,19,8
206,2017-02-25 02:57:00,2017-02-25 03:57:00,19,8
207,2017-02-25 02:58:00,2017-02-25 03:58:00,19,8
208,2017-02-25 02:59:00,2017-02-25 03:59:00,19,8
209,2017-02-25 03:00:00,2017-02-25 04:00:00,19,8
210,2017-02-25 03:01:00,2017-02-25 04:01:00,19,8
211,2017-02-25 03:02:00,2017-02-25 04:02:00,24,8
212,2017-02-25 03:03:00,2017-02-25 04:03:00,24,8
213,2017-02-25 03:04:00,2017-02-25 04:04:00,24,8
214,2017-02-25 03:05:00,2017-02-25 04:05:00,25,8
215,2017-02-25 03:06:00,2017-02-25 04:06:00,25,8
216,2017-02-25 03:07:00,2017-02-25 04:07:00,25,8
217,2017-02-25 03:08:00,2017-02-25 04:08:00,25,8
218,2017-02-25 03:09:00,2017-02-25 04:09:00,25,8
219,2017-02-25 03:10:00,2017-02-25 04:10:00,25,8
220,2017-02-25 03:11:00,2017-02-25 04:11:00,25,8
221,2017-02-25 03:12:00,2017-02-25 04:12:00,25,8
222,2017-02-25 03:13:00,2017-02-25 04:13:00,25,8
223,2017-02-25 03:14:00,2017-02-25 04:14:00,22,8
224,2017-02-25 03:15:00,2017-02-25 04:15:00,23,8
