,Start,Stop,Pearson,expected-arrival
0,2018-10-09 07:38:00,2018-10-09 08:38:00,19,8
1,2018-10-09 07:39:00,2018-10-09 08:39:00,19,8
2,2018-10-09 07:40:00,2018-10-09 08:40:00,19,8
3,2018-10-09 07:41:00,2018-10-09 08:41:00,19,8
4,2018-10-09 07:42:00,2018-10-09 08:42:00,19,8
5,2018-10-09 07:43:00,2018-10-09 08:43:00,20,8
6,2018-10-09 07:44:00,2018-10-09 08:44:00,20,8
7,2018-10-09 07:45:00,2018-10-09 08:45:00,20,8
8,2018-10-09 07:46:00,2018-10-09 08:46:00,20,8
9,2018-10-09 07:47:00,2018-10-09 08:47:00,19,8
10,2018-10-09 07:48:00,2018-10-09 08:48:00,19,8
11,2018-10-09 07:49:00,2018-10-09 08:49:00,20,8
12,2018-10-09 07:50:00,2018-10-09 08:50:00,20,8
13,2018-10-09 07:51:00,2018-10-09 08:51:00,20,8
14,2018-10-09 07:52:00,2018-10-09 08:52:00,20,8
15,2018-10-09 07:53:00,2018-10-09 08:53:00,20,8
16,2018-10-09 07:54:00,2018-10-09 08:54:00,20,8
17,2018-10-09 07:55:00,2018-10-09 08:55:00,20,8
18,2018-10-09 07:56:00,2018-10-09 08:56:00,21,8
19,2018-10-09 07:57:00,2018-10-09 08:57:00,20,8
20,2018-10-09 07:58:00,2018-10-09 08:58:00,20,8
21,2018-10-09 07:59:00,2018-10-09 08:59:00,20,8
22,2018-10-09 08:00:00,2018-10-09 09:00:00,21,8
23,2018-10-09 08:01:00,2018-10-09 09:01:00,21,8
24,2018-10-09 08:02:00,2018-10-09 09:02:00,30,8
25,2018-10-09 08:03:00,2018-10-09 09:03:00,20,8
26,2018-10-09 08:04:00,2018-10-09 09:04:00,30,8
27,2018-10-09 08:05:00,2018-10-09 09:05:00,30,8
28,2018-10-09 08:06:00,2018-10-09 09:06:00,30,8
29,2018-10-09 08:07:00,2018-10-09 09:07:00,30,8
30,2018-10-09 08:08:00,2018-10-09 09:08:00,30,8
31,2018-10-09 08:09:00,2018-10-09 09:09:00,30,8
