,Start,Stop,Pearson,expected-arrival
0,2022-03-01 14:31:00,2022-03-01 15:31:00,18,8
1,2022-03-01 14:32:00,2022-03-01 15:32:00,18,8
2,2022-03-01 14:33:00,2022-03-01 15:33:00,17,8
3,2022-03-01 14:34:00,2022-03-01 15:34:00,17,8
4,2022-03-01 14:35:00,2022-03-01 15:35:00,18,8
5,2022-03-01 14:36:00,2022-03-01 15:36:00,18,8
6,2022-03-01 14:37:00,2022-03-01 15:37:00,19,8
7,2022-03-01 14:38:00,2022-03-01 15:38:00,20,8
8,2022-03-01 14:39:00,2022-03-01 15:39:00,20,8
9,2022-03-01 14:40:00,2022-03-01 15:40:00,20,8
10,2022-03-01 14:41:00,2022-03-01 15:41:00,21,8
11,2022-03-01 14:42:00,2022-03-01 15:42:00,23,8
12,2022-03-01 14:43:00,2022-03-01 15:43:00,24,8
13,2022-03-01 14:44:00,2022-03-01 15:44:00,25,8
14,2022-03-01 14:45:00,2022-03-01 15:45:00,25,8
15,2022-03-01 14:46:00,2022-03-01 15:46:00,25,8
16,2022-03-01 14:47:00,2022-03-01 15:47:00,25,8
17,2022-03-01 14:48:00,2022-03-01 15:48:00,25,8
18,2022-03-01 14:49:00,2022-03-01 15:49:00,25,8
19,2022-03-01 14:50:00,2022-03-01 15:50:00,25,8
20,2022-03-01 14:51:00,2022-03-01 15:51:00,25,8
21,2022-03-01 14:52:00,2022-03-01 15:52:00,25,8
22,2022-03-01 14:53:00,2022-03-01 15:53:00,25,8
23,2022-03-01 14:54:00,2022-03-01 15:54:00,25,8
24,2022-03-01 14:55:00,2022-03-01 15:55:00,25,8
25,2022-03-01 14:56:00,2022-03-01 15:56:00,25,8
26,2022-03-01 14:57:00,2022-03-01 15:57:00,25,8
27,2022-03-01 14:58:00,2022-03-01 15:58:00,25,8
28,2022-03-01 14:59:00,2022-03-01 15:59:00,25,8
29,2022-03-01 15:00:00,2022-03-01 16:00:00,25,8
30,2022-03-01 15:01:00,2022-03-01 16:01:00,25,8
31,2022-03-01 15:02:00,2022-03-01 16:02:00,25,8
32,2022-03-01 15:03:00,2022-03-01 16:03:00,30,8
33,2022-03-01 15:04:00,2022-03-01 16:04:00,30,8
34,2022-03-01 15:05:00,2022-03-01 16:05:00,25,8
35,2022-03-01 15:06:00,2022-03-01 16:06:00,25,8
