,Start,Stop,Pearson,expected-arrival
0,2015-12-09 23:37:00,2015-12-10 00:37:00,5,11
1,2015-12-09 23:38:00,2015-12-10 00:38:00,6,11
2,2015-12-09 23:39:00,2015-12-10 00:39:00,6,11
3,2015-12-09 23:40:00,2015-12-10 00:40:00,5,11
4,2015-12-09 23:41:00,2015-12-10 00:41:00,5,11
5,2015-12-09 23:42:00,2015-12-10 00:42:00,2,11
6,2015-12-09 23:43:00,2015-12-10 00:43:00,2,11
7,2015-12-09 23:44:00,2015-12-10 00:44:00,2,11
8,2015-12-09 23:45:00,2015-12-10 00:45:00,2,11
9,2015-12-09 23:46:00,2015-12-10 00:46:00,4,11
10,2015-12-09 23:47:00,2015-12-10 00:47:00,6,11
11,2015-12-09 23:48:00,2015-12-10 00:48:00,10,11
12,2015-12-09 23:49:00,2015-12-10 00:49:00,9,11
13,2015-12-09 23:50:00,2015-12-10 00:50:00,9,11
14,2015-12-09 23:51:00,2015-12-10 00:51:00,9,11
15,2015-12-09 23:52:00,2015-12-10 00:52:00,10,11
16,2015-12-09 23:53:00,2015-12-10 00:53:00,10,11
17,2015-12-09 23:54:00,2015-12-10 00:54:00,10,11
18,2015-12-09 23:55:00,2015-12-10 00:55:00,10,11
19,2015-12-09 23:56:00,2015-12-10 00:56:00,10,11
20,2015-12-09 23:57:00,2015-12-10 00:57:00,10,11
21,2015-12-09 23:58:00,2015-12-10 00:58:00,10,11
22,2015-12-09 23:59:00,2015-12-10 00:59:00,10,11
23,2015-12-10 00:00:00,2015-12-10 01:00:00,10,11
24,2015-12-10 00:01:00,2015-12-10 01:01:00,9,11
25,2015-12-10 00:02:00,2015-12-10 01:02:00,9,11
26,2015-12-10 00:03:00,2015-12-10 01:03:00,0,11
27,2015-12-10 00:04:00,2015-12-10 01:04:00,0,11
28,2015-12-10 00:05:00,2015-12-10 01:05:00,0,11
29,2015-12-10 00:06:00,2015-12-10 01:06:00,30,11
30,2015-12-10 00:07:00,2015-12-10 01:07:00,30,11
31,2015-12-10 00:08:00,2015-12-10 01:08:00,0,11
32,2015-12-10 00:09:00,2015-12-10 01:09:00,0,11
33,2015-12-10 00:10:00,2015-12-10 01:10:00,0,11
34,2015-12-10 00:11:00,2015-12-10 01:11:00,30,11
35,2015-12-10 00:12:00,2015-12-10 01:12:00,30,11
36,2015-12-10 00:13:00,2015-12-10 01:13:00,30,11
37,2015-12-10 00:14:00,2015-12-10 01:14:00,30,11
38,2015-12-10 00:15:00,2015-12-10 01:15:00,30,11
39,2015-12-10 00:16:00,2015-12-10 01:16:00,30,11
40,2015-12-10 00:17:00,2015-12-10 01:17:00,30,11
41,2015-12-10 00:18:00,2015-12-10 01:18:00,30,11
42,2015-12-10 00:19:00,2015-12-10 01:19:00,30,11
43,2015-12-10 00:20:00,2015-12-10 01:20:00,30,11
